date,neo_id,name,estimated_diameter_m_min,estimated_diameter_m_max,is_potentially_hazardous,close_approach_date,rel_velocity_km_h,miss_distance_km
2025-10-01,3002856,(1991 GO),253.837,567.597,True,2025-Oct-01 11:32,116264.2472481438,70011871.989979987
2025-10-01,3346460,(2006 SS134),134.448,300.635,True,2025-Oct-01 04:39,68275.0959532751,12154759.453900843
2025-10-01,3471356,(2009 TJ4),16.016,35.813,False,2025-Oct-01 02:55,59020.0288999546,65592452.178193384
2025-10-01,3730802,(2015 TT238),31.956,71.456,False,2025-Oct-01 11:02,25794.8346140339,13734683.712109661
2025-10-01,3856710,(2019 SG4),29.279,65.470,False,2025-Oct-01 15:13,48384.5991023178,8333127.49470879
2025-10-01,3994621,(2020 DT2),8.027,17.949,False,2025-Oct-01 15:48,30210.5634982051,20014314.85996984
2025-10-01,54054367,(2020 SA),36.691,82.043,False,2025-Oct-01 04:33,44960.9059961136,8378998.495109659
2025-10-01,54157355,(2021 LV2),23.472,52.486,False,2025-Oct-01 00:31,69861.8872473476,61892989.962807672
2025-10-01,54235406,(2022 AG),25.151,56.239,False,2025-Oct-01 21:45,11686.119937814,28616186.311296318
2025-10-01,54253542,(2022 EG4),33.772,75.516,False,2025-Oct-01 14:11,55528.1576089452,50251557.767745725
2025-10-01,54391010,(2023 TF1),25.035,55.981,False,2025-Oct-01 13:00,37865.5813937761,17827604.661682777
2025-10-01,54395903,(2023 UJ1),15.942,35.648,False,2025-Oct-01 23:50,62425.6437194143,42520024.389117256
2025-10-01,54415896,(2023 XU10),7.808,17.460,False,2025-Oct-01 13:01,29884.2681968981,12062148.468991849
2025-10-01,54543546,(2025 QL23),56.047,125.326,False,2025-Oct-01 22:54,35840.8430287747,2729884.206882843
2025-10-01,54546120,(2025 SZ),5.910,13.214,False,2025-Oct-01 09:24,7162.4767506916,3464848.38449747
2025-10-01,54548206,(2025 SQ12),23.581,52.728,False,2025-Oct-01 08:16,46265.5875043674,6546238.951612776
2025-10-01,54549109,(2025 SY21),10.943,24.470,False,2025-Oct-01 20:07,73937.7070130848,1707958.13380065
2025-10-01,54549128,(2025 SJ27),29.428,65.802,False,2025-Oct-01 05:06,26931.6985544572,11092754.585547376
2025-10-01,54549684,(2025 TB),12.970,29.003,False,2025-Oct-01 15:24,42674.6409329909,1363936.514039175
2025-10-01,54549695,(2025 TF),1.214,2.714,False,2025-Oct-01 00:49,75154.0114824793,6780.463618602
2025-10-01,54550509,(2025 TP),3.824,8.551,False,2025-Oct-01 21:17,52957.0658512948,107633.498295885
2025-10-01,54550511,(2025 TQ),4.487,10.033,False,2025-Oct-01 03:33,36274.4089306211,310790.188276267
2025-10-01,54550518,(2025 TW),30.829,68.935,False,2025-Oct-01 22:51,44904.7297395274,10501167.639463261
2025-10-02,3781988,(2017 SJ20),90.480,202.321,False,2025-Oct-02 19:46,94051.4886152982,56731410.196181146
2025-10-02,3782063,(2017 TG1),69.913,156.329,False,2025-Oct-02 12:43,54279.772165174,44783877.406871692
2025-10-02,3873325,(2019 TA1),16.016,35.813,False,2025-Oct-02 14:14,42182.4509997833,30330976.953814543
2025-10-02,3879167,(2019 TA7),14.607,32.662,False,2025-Oct-02 19:05,95300.6811448604,72154359.397358693
2025-10-02,54016464,(2020 GE1),10.105,22.596,False,2025-Oct-02 21:39,16821.4746049884,5256534.067530987
2025-10-02,54130760,(2021 EN2),43.108,96.392,False,2025-Oct-02 00:48,39031.1616864215,60774131.979778553
2025-10-02,54185582,(2021 PS16),63.176,141.267,False,2025-Oct-02 17:37,42934.1333836133,41747441.194168617
2025-10-02,54212589,(2021 UG1),24.692,55.213,False,2025-Oct-02 20:53,27383.3228635738,23104432.652665419
2025-10-02,54321452,(2022 UL13),58.689,131.232,False,2025-Oct-02 21:24,41849.9051532314,33088937.045668145
2025-10-02,54385233,(2023 RG22),15.869,35.485,False,2025-Oct-02 19:22,62678.4584467817,46680204.660720668
2025-10-02,54393149,(2023 TV9),30.238,67.615,False,2025-Oct-02 19:18,27205.3264360843,19385903.291160987
2025-10-02,54414145,(2023 XZ2),7.772,17.380,False,2025-Oct-02 14:44,19514.1685258324,36945858.813277884
2025-10-02,54486934,(2024 TZ),57.618,128.837,False,2025-Oct-02 08:04,80949.3454724598,21009242.317302931
2025-10-02,54545769,(2025 SH),8.871,19.835,False,2025-Oct-02 08:55,13426.9832371999,1393391.526813677
2025-10-02,54546119,(2025 SY),10.818,24.190,False,2025-Oct-02 00:02,21176.0119979867,4673627.792170001
2025-10-02,54546407,(2025 SB2),29.563,66.106,False,2025-Oct-02 11:37,16700.8659464818,26318432.321829702
2025-10-02,54546465,(2025 SS2),37.649,84.186,False,2025-Oct-02 13:20,34507.7916544801,20374562.029269172
2025-10-02,54549111,(2025 SV21),15.724,35.159,False,2025-Oct-02 11:07,25974.892261832,9128731.393324722
2025-10-02,54549117,(2025 SN23),33.679,75.308,False,2025-Oct-02 01:17,43198.5179063124,11673450.253183372
2025-10-02,54549696,(2025 TG),10.451,23.369,False,2025-Oct-02 00:17,21828.5856319999,1996332.592195904
2025-10-02,54550575,(2025 TP1),8.503,19.013,False,2025-Oct-02 05:08,45455.6233277435,225395.176305019
2025-10-03,3427459,(2008 SS),97.399,217.791,False,2025-Oct-03 22:04,52300.2946120308,17860588.568532283
2025-10-03,3716631,(2015 HN9),80.270,179.490,False,2025-Oct-03 22:24,27750.3476679028,12307670.348249437
2025-10-03,3720000,(2015 KT120),25.384,56.760,False,2025-Oct-03 04:07,41649.1343134956,39827549.38855575
